emp_no,first_name,last_name,birth_date,from_date,to_date,title
10681,Florina,Garnier,1964-12-25,2002-01-08,9999-01-01,Staff
10786,Patricia,dAstous,1964-05-19,2001-12-10,9999-01-01,Senior Engineer
11209,Xuejun,Penn,1964-06-25,2000-02-08,9999-01-01,Engineer
11618,Gian,Juneja,1964-02-08,2001-08-13,9999-01-01,Staff
12152,Amalendu,Nyrup,1964-01-18,2000-08-16,9999-01-01,Senior Staff
12577,Takushi,Schrift,1964-05-09,2000-10-13,9999-01-01,Engineer
13528,Fumitaka,Liesche,1964-02-21,2002-02-03,9999-01-01,Senior Staff
13644,Shmuel,Spataro,1964-02-25,2001-04-25,9999-01-01,Engineer
14025,Stevo,Takanami,1964-08-03,2001-08-07,9999-01-01,Staff
14062,Khalid,Luon,1964-12-16,2000-11-13,9999-01-01,Engineer
15293,Pantung,Puppo,1964-04-29,2000-08-09,9999-01-01,Technique Leader
15449,Yinghua,Kropf,1964-04-17,2001-03-27,9999-01-01,Senior Staff
16428,Arun,Chinin,1964-09-05,2000-06-02,9999-01-01,Senior Staff
16701,Yongqiao,Picht,1964-10-21,2000-01-17,9999-01-01,Staff
16989,Limsoon,Ruther,1964-11-06,2002-03-23,9999-01-01,Assistant Engineer
17050,Koldo,Oppitz,1964-10-25,2001-08-19,9999-01-01,Engineer
17533,Xuejia,Perin,1964-11-25,2000-02-05,9999-01-01,Technique Leader
18168,Shugo,Stassinopoulos,1964-08-09,2001-08-26,9999-01-01,Technique Leader
18304,Moon,Kowalchuk,1964-12-30,2001-06-09,9999-01-01,Staff
19026,Zhongwei,Arlazarov,1964-05-01,2000-01-07,9999-01-01,Staff
19045,Gio,Zaccaria,1964-05-19,2000-12-07,9999-01-01,Senior Engineer
21195,Sadegh,Krider,1964-06-14,2000-01-07,9999-01-01,Staff
21382,Shuji,Asrin,1964-10-27,2000-04-19,9999-01-01,Engineer
21637,Yefim,Luby,1964-04-28,2000-01-14,9999-01-01,Senior Staff
21703,Kensei,Kawashima,1964-12-18,2002-01-14,9999-01-01,Staff
22203,Xiahua,Rehfuss,1964-09-21,2001-09-29,9999-01-01,Senior Staff
22223,Inderjeet,Openshaw,1964-07-29,2002-07-21,9999-01-01,Staff
22575,Takahiro,Ciolek,1964-05-02,2001-06-22,9999-01-01,Engineer
22694,Shuky,Nastansky,1964-02-27,2000-01-21,9999-01-01,Senior Engineer
22939,Aloke,Spieker,1964-01-28,2002-01-07,9999-01-01,Engineer
23044,Pintsang,Honglei,1964-05-27,2001-07-23,9999-01-01,Senior Engineer
23440,Sadun,Hanratty,1964-09-28,2000-06-09,9999-01-01,Technique Leader
23863,Eben,Keustermans,1964-10-28,2000-01-18,9999-01-01,Engineer
23923,Kiyotoshi,Frolund,1964-05-16,2000-07-31,9999-01-01,Senior Staff
24104,Chaosheng,Sankaranarayanan,1964-11-16,2001-07-16,9999-01-01,Technique Leader
25047,Vatsa,Eldridge,1964-10-03,2000-07-15,9999-01-01,Senior Staff
25066,Ortrun,Fujisawa,1964-08-01,2001-02-13,9999-01-01,Senior Staff
